dataset,experiment,fig4,fig5d,fig5e,fold,behavior_class,f1,precision,recall,train_ground_truth_label_counts
vehkaoja_dogs,CRNN,True,False,False,1,galloping,0.9620320148167747,0.9526259378349411,0.971625692352541,133762
vehkaoja_dogs,CRNN,True,False,False,1,lying_chest,0.5933285927520355,0.5261280299028045,0.6802094579211375,411050
vehkaoja_dogs,CRNN,True,False,False,1,panting_lying_chest,0.6031400128770246,0.6521645995330206,0.5609706662735849,474147
vehkaoja_dogs,CRNN,True,False,False,1,panting_sitting,0.81157802126359,0.7965128375847863,0.8272240749677671,514368
vehkaoja_dogs,CRNN,True,False,False,1,panting_standing,0.6555222296455293,0.6734066062440981,0.6385632258183631,431092
vehkaoja_dogs,CRNN,True,False,False,1,shaking,0.9523294509151414,0.9426830272585028,0.962175338320585,30282
vehkaoja_dogs,CRNN,True,False,False,1,sitting,0.7978926809210526,0.8068754742871399,0.7891076929333184,368552
vehkaoja_dogs,CRNN,True,False,False,1,sniffing,0.9836140834127909,0.9801182349215286,0.9871349588885738,800450
vehkaoja_dogs,CRNN,True,False,False,1,standing,0.6304150919823843,0.6871316019842427,0.582347558713698,366983
vehkaoja_dogs,CRNN,True,False,False,1,trotting,0.9858518787907228,0.9919730862303016,0.9798057527953642,602345
vehkaoja_dogs,CRNN,True,False,False,1,walking,0.9664446558832859,0.9787485035185564,0.9544463111136422,607440
vehkaoja_dogs,CRNN,True,False,False,2,galloping,0.9564090364707233,0.9638888888888889,0.949044378601895,144213
vehkaoja_dogs,CRNN,True,False,False,2,lying_chest,0.6674130890271268,0.6346415507766252,0.7037534168732303,445144
vehkaoja_dogs,CRNN,True,False,False,2,panting_lying_chest,0.8572759660180871,0.8503316298793084,0.8643346595932803,456019
vehkaoja_dogs,CRNN,True,False,False,2,panting_sitting,0.8652128506430433,0.8907259125596783,0.8411206327343467,512352
vehkaoja_dogs,CRNN,True,False,False,2,panting_standing,0.7390608674584467,0.8276824980498118,0.6675815658453851,429752
vehkaoja_dogs,CRNN,True,False,False,2,shaking,0.9760651422931403,0.9593371059013743,0.9933869077515486,30233
vehkaoja_dogs,CRNN,True,False,False,2,sitting,0.7897659402744148,0.8449113516002763,0.7413779169613092,367925
vehkaoja_dogs,CRNN,True,False,False,2,sniffing,0.9847938919257292,0.9759807728944707,0.9937676264754013,825131
vehkaoja_dogs,CRNN,True,False,False,2,standing,0.6146798146608056,0.5444550146064673,0.7057026254337531,396650
vehkaoja_dogs,CRNN,True,False,False,2,trotting,0.978020820738048,0.9770642559326657,0.9789792603698151,645815
vehkaoja_dogs,CRNN,True,False,False,2,walking,0.9687411395798652,0.9770270499832955,0.9605945885758824,603415
vehkaoja_dogs,CRNN,True,False,False,3,galloping,0.9607936602514449,0.9668715335032229,0.9547917221778133,141149
vehkaoja_dogs,CRNN,True,False,False,3,lying_chest,0.522179572027355,0.6621757715462256,0.43104804638559485,478569
vehkaoja_dogs,CRNN,True,False,False,3,panting_lying_chest,0.8057419332556774,0.7652496481309191,0.8507588365169768,431868
vehkaoja_dogs,CRNN,True,False,False,3,panting_sitting,0.9068882400493151,0.9679765497569086,0.8530526929807505,509197
vehkaoja_dogs,CRNN,True,False,False,3,panting_standing,0.8115820497959083,0.815090039880112,0.8081041257367387,417258
vehkaoja_dogs,CRNN,True,False,False,3,shaking,0.9794022617124394,0.9833738848337389,0.9754625905068383,37207
vehkaoja_dogs,CRNN,True,False,False,3,sitting,0.7940475160919682,0.6995711424590735,0.9180259962862448,396905
vehkaoja_dogs,CRNN,True,False,False,3,sniffing,0.9941683623660593,0.9923218889561995,0.9960217202760285,814026
vehkaoja_dogs,CRNN,True,False,False,3,standing,0.8320331114106386,0.8204164373263166,0.8439834827162369,415883
vehkaoja_dogs,CRNN,True,False,False,3,trotting,0.9856828262150678,0.9837848881844523,0.9875881014829639,612985
vehkaoja_dogs,CRNN,True,False,False,3,walking,0.9842506436569237,0.9831364117785092,0.9853674040172896,625715
vehkaoja_dogs,CRNN,True,False,False,4,galloping,0.9648649805280952,0.9503990557553957,0.9797780803661964,140409
vehkaoja_dogs,CRNN,True,False,False,4,lying_chest,0.7413411124689557,0.7937129640571978,0.6954527972545191,412007
vehkaoja_dogs,CRNN,True,False,False,4,panting_lying_chest,0.6191950464396284,0.8738404119789704,0.4794722851235601,481121
vehkaoja_dogs,CRNN,True,False,False,4,panting_sitting,0.8102182254726501,0.76728160418483,0.85824511035349,525022
vehkaoja_dogs,CRNN,True,False,False,4,panting_standing,0.7247944688144555,0.6430839656878918,0.830291655019102,464295
vehkaoja_dogs,CRNN,True,False,False,4,shaking,0.8387188815179399,0.7288618894123481,0.9875692927935494,36226
vehkaoja_dogs,CRNN,True,False,False,4,sitting,0.7744856376555299,0.6785465208432399,0.9020217237855435,371996
vehkaoja_dogs,CRNN,True,False,False,4,sniffing,0.9875825146108674,0.9941263332141984,0.9811242817759048,810716
vehkaoja_dogs,CRNN,True,False,False,4,standing,0.7773449317800678,0.7934639227138598,0.7618678068351539,351704
vehkaoja_dogs,CRNN,True,False,False,4,trotting,0.9786208633856597,0.9898482603243998,0.9676453044395938,621320
