dataset,experiment,fig4,fig5d,fig5e,f1_mean,f1_std,prec_mean,prec_std,rec_mean,rec_std
HAR,harnet_nogyr,True,True,False,0.9812621158320419,0.02867294529681131,0.9834418794900547,0.026812197007921434,0.9810992063452382,0.028571507377084582
HAR,CRNN,True,False,False,0.9775593125947432,0.05484392043054589,0.9861812504520001,0.027391766401723413,0.979789325798018,0.04661397588170236
HAR,CNN,True,False,False,0.920270328473637,0.07413859413382932,0.9440781375879514,0.055929151999311255,0.9265284779564712,0.06845493189864857
HAR,dt,True,False,False,0.8631683899763051,0.08320822179211969,0.8851201879138895,0.06508704354969563,0.8692749849257,0.07514557651346787
HAR,rf,True,False,False,0.9210404538506518,0.06807406592286319,0.9432126097640433,0.04162779062826998,0.9262595355213695,0.058596218081819286
HAR,svm,True,False,False,0.918193599292913,0.07777810784536869,0.9407682022482775,0.04493467986183348,0.922009888655453,0.0702803914878278
HAR,wavelet_dt,True,False,False,0.7812140566338813,0.08255348586023474,0.7945772111730575,0.07179432446056071,0.7870570223631536,0.07657754386148595
HAR,wavelet_rf,True,False,False,0.9074185283477946,0.053435011533970976,0.9195469078431718,0.03979255582023103,0.909780080335033,0.050443611507706196
HAR,wavelet_svm,True,False,False,0.8879652950856659,0.06942753336989149,0.9013974051949601,0.06178942395882961,0.8905911181517453,0.06764253140079995
HAR,harnet_random_nogyr,False,True,False,0.5466624746063333,0.0612522351796561,0.5693565210590904,0.05775634834881985,0.5856449487308404,0.05827196512029338
HAR,harnet_unfrozen_nogyr,False,True,False,0.7175476813933642,0.05281621681362943,0.7531888515741715,0.04845695171247715,0.7361143005113168,0.05100473967019408
HAR,RNN_nogyr,False,True,False,0.9393631947583545,0.08375619741437258,0.9541161700935815,0.06216331757026694,0.9428384727390199,0.07560360864731161
HAR,CRNN_nogyr,False,True,False,0.9772388265383228,0.04715850079353849,0.9848847730843285,0.027015949329065474,0.979307004573684,0.04113169418782488
HAR,rf_nogyr,False,True,False,0.8745172967689129,0.0844207477406664,0.9181505814160055,0.047375653822571244,0.885927353752115,0.07021741863667623
HAR,harnet_low_data_nogyr,False,False,True,0.9370406879498634,0.08617298314714178,0.9478664253900914,0.07375799367317265,0.941276266104091,0.07743328621916239
HAR,harnet_random_low_data_nogyr,False,False,True,0.4692844114468478,0.08276934704805675,0.5194786946851293,0.07838972202733466,0.5166432968122631,0.07212651314532444
HAR,harnet_unfrozen_low_data_nogyr,False,False,True,0.6252829860281358,0.051028651896944846,0.6671812061452128,0.050807464872377466,0.6503471036383186,0.0512905951550754
HAR,RNN_low_data_nogyr,False,False,True,0.9148398082782752,0.09484792210344953,0.9331059007490282,0.0847764033869064,0.9215612533666011,0.08143218328076833
HAR,wavelet_RNN_low_data_nogyr,False,False,True,0.9003558842225706,0.09344009368487602,0.9210798886616679,0.06519781872602715,0.903910357350307,0.08905521753398107
HAR,CRNN_low_data_nogyr,False,False,True,0.9232310975353893,0.11319587663081404,0.9422866942043063,0.09333243670278603,0.9295671984824359,0.10025578691324209
HAR,rf_low_data_nogyr,False,False,True,0.8282760366507788,0.09659911494449852,0.8843103596134146,0.06365711219628697,0.8431207832362734,0.08080504345476712
baglione_crows,harnet_nogyr,True,True,False,0.9924284556769085,0.0067040859726618255,0.9925214072175326,0.008626850571230431,0.9924288490282128,0.0056014667057713895
baglione_crows,CRNN,True,True,False,0.9934223646634762,0.005225491692957173,0.9936020876000428,0.006764854572998695,0.9933984532411797,0.0062228975609165136
baglione_crows,CNN,True,False,False,0.9716789586932921,0.013191462633894898,0.9631914354242466,0.020622599142624654,0.9820497451222947,0.010694116621144716
baglione_crows,dt,True,False,False,0.9755203100173596,0.01814611963074594,0.9708516791401649,0.02482016214622665,0.9814576644959659,0.013785354882211338
baglione_crows,rf,True,True,False,0.9878990897664863,0.012971447201255103,0.984250002466097,0.019679171776632677,0.992206273085375,0.008078438697733052
baglione_crows,svm,True,False,False,0.9854885197513701,0.014032995694752944,0.9805748155606857,0.02382787673010343,0.9914193551642959,0.006254252375199549
baglione_crows,wavelet_dt,True,False,False,0.9333274041223878,0.054605940045916,0.9271649613178543,0.05240603781219703,0.9489993985451415,0.04734967078618595
baglione_crows,wavelet_rf,True,False,False,0.934470825869232,0.09129836439895403,0.9472498570119007,0.06774988716590613,0.939556125690688,0.07568299484491624
baglione_crows,wavelet_svm,True,False,False,0.9290229188090562,0.04972297922337448,0.9081966878286247,0.06637643270389472,0.9643419950751702,0.02053752777935521
baglione_crows,harnet_unfrozen_nogyr,False,True,False,0.7849809158903134,0.10518721352212758,0.8647569213241768,0.0728023302327474,0.7784850515587302,0.08492697111150312
baglione_crows,harnet_random_nogyr,False,True,False,0.7226738866032432,0.11834519420650334,0.8593196182717753,0.07278542617475375,0.7135529154277018,0.07899801252411173
baglione_crows,RNN_nogyr,False,True,False,0.9798613652177517,0.015294557137348367,0.9796361543223887,0.017480728778006896,0.9814684717207293,0.0199973383063006
baglione_crows,harnet_low_data_nogyr,False,False,True,0.985726406922618,0.013524100793287913,0.9877007855672877,0.012295185737336943,0.9843283402632212,0.01537344305520099
baglione_crows,harnet_random_low_data_nogyr,False,False,True,0.6706236008240201,0.09512010488098818,0.8451376245894364,0.08524994546372752,0.6626013454659185,0.05989069979258466
baglione_crows,harnet_unfrozen_low_data_nogyr,False,False,True,0.6479958509580672,0.12980976396336538,0.8038159543084213,0.06404967357117165,0.6615604424204915,0.08181377808251301
