dataset,experiment,fig4,fig5d,fig5e,fold,behavior_class,f1,precision,recall,train_ground_truth_label_counts
HAR,CNN,True,False,False,1,WALKING,0.9863900662392707,0.9832696390658174,0.989530361950344,98563
HAR,CNN,True,False,False,1,WALKING_DOWNSTAIRS,0.9904908270098933,0.98608654076022,0.9949346326402624,87046
HAR,CNN,True,False,False,1,WALKING_UPSTAIRS,0.9897929294067283,0.9964160958127297,0.9832572298325722,94186
HAR,CNN,True,False,False,2,LAYING,1.0,1.0,1.0,108945
HAR,CNN,True,False,False,2,SITTING,0.8552462025069312,0.823197774937984,0.8898911100276288,101945
HAR,CNN,True,False,False,2,STANDING,0.862333218049766,0.8949635395020213,0.8319985950122937,109515
HAR,CNN,True,False,False,2,WALKING,0.9870195978620514,0.9902119329304622,0.9838477801268499,98314
HAR,CNN,True,False,False,2,WALKING_DOWNSTAIRS,0.9892935578330893,0.9900636476029122,0.9885246651122388,85902
HAR,CNN,True,False,False,2,WALKING_UPSTAIRS,0.9875159448777734,0.9835054981672776,0.9915592323520765,92711
HAR,CNN,True,False,False,3,LAYING,0.9964367428078467,0.9929730133811766,0.9999247214694369,110177
HAR,CNN,True,False,False,3,SITTING,0.8251320544898528,0.735040089155806,0.9403936789575825,101308
HAR,CNN,True,False,False,3,STANDING,0.780297893746856,0.9255915317559154,0.6744300351620099,111536
HAR,CNN,True,False,False,3,WALKING,0.9127980068115842,0.9903774614354447,0.8464897405460403,98376
HAR,CNN,True,False,False,3,WALKING_DOWNSTAIRS,0.9864849093158424,0.9823802882380288,0.9906239744972106,86444
HAR,CNN,True,False,False,3,WALKING_UPSTAIRS,0.923500499663492,0.8671722394576583,0.9876548595358576,93600
HAR,CNN,True,False,False,4,LAYING,0.9855188327852171,1.0,0.9714510871511982,108828
HAR,CNN,True,False,False,4,SITTING,0.8076943272714543,0.7201310861423221,0.9194994620013549,101464
HAR,CNN,True,False,False,4,STANDING,0.7756401979771896,0.8963047694832645,0.6836096043697607,111622
HAR,CNN,True,False,False,4,WALKING,0.9517187144305788,0.9745698058828516,0.9299146681764873,97237
HAR,CNN,True,False,False,4,WALKING_DOWNSTAIRS,0.9458749569410955,0.9032854969365517,0.9926792896199557,85646
HAR,CNN,True,False,False,4,WALKING_UPSTAIRS,0.947026434041476,0.9664155005382131,0.9284000661813369,92348
HAR,dt,True,False,False,1,LAYING,0.9971851989933825,0.9943861997174511,1.0,109998
HAR,dt,True,False,False,1,SITTING,0.8696569239378417,0.9207456020417464,0.8239396411092985,102037
HAR,dt,True,False,False,1,STANDING,0.8970126998817419,0.8622121182168627,0.9347406772396056,109989
HAR,dt,True,False,False,1,WALKING,0.9214226633581472,0.9390000443636041,0.9044912610572198,98563
HAR,dt,True,False,False,1,WALKING_DOWNSTAIRS,0.8741983899577023,0.8268875026887502,0.9272516763953881,87046
HAR,dt,True,False,False,1,WALKING_UPSTAIRS,0.8685138772858071,0.9016575118049532,0.8377204763183812,94186
HAR,dt,True,False,False,2,LAYING,0.9982378537778257,0.9979866254404257,0.9984892086330935,108945
HAR,dt,True,False,False,2,SITTING,0.864475536054309,0.8810327370907863,0.8485291727612547,101945
HAR,dt,True,False,False,2,STANDING,0.886720642170092,0.8736619622281312,0.9001756234632947,109515
HAR,dt,True,False,False,2,WALKING,0.8401622551831517,0.8149193227883316,0.8670190274841437,98314
